Product ID,Variant ID,Product Name (Required),SKU (Required),Variant Name (Required),Option 1 Label,Option 2 Label,Option 3 Label,Option 1 Value,Option 2 Value,Option 3 Value,Product Type,"Barcode (UPC, GTIN, etc)",Minimum Order Quantity,Product Description,Wholesale Price,Retail Price,Online Ordering
46991310,98824515,Faire Exclusive,SG-SCC-OH,Ohio,Variant,Design,,Cutout Coaster,Ohio,,Back Catalog,816265025357,12,<br>,14.0,29.95,false
46991310,98824505,Faire Exclusive,SG-SCC-MO,Missouri,Variant,Design,,Cutout Coaster,Missouri,,Back Catalog,816265021601,12,<br>,14.0,29.95,false
46991310,98824518,Faire Exclusive,SG-SCC-PA,Pennsylvania,Variant,Design,,Cutout Coaster,Pennsylvania,,Back Catalog,816265025388,12,<br>,14.0,29.95,false
46991310,98824527,Faire Exclusive,SG-SCC-WA,Washington,Variant,Design,,Cutout Coaster,Washington,,Back Catalog,816265021847,12,<br>,14.0,29.95,false
46991310,98824480,Faire Exclusive,SG-SCC-AL,Alabama,Variant,Design,,Cutout Coaster,Alabama,,Back Catalog,748252677228,12,<br>,14.0,29.95,false
46991310,98824506,Faire Exclusive,SG-SCC-MT,Montana,Variant,Design,,Cutout Coaster,Montana,,Back Catalog,816265025272,12,<br>,14.0,29.95,false
46991310,98824511,Faire Exclusive,SG-SCC-NM,New Mexico,Variant,Design,,Cutout Coaster,New Mexico,,Back Catalog,816265025326,12,<br>,14.0,29.95,false
46991310,98824509,Faire Exclusive,SG-SCC-NJ,New Jersey,Variant,Design,,Cutout Coaster,New Jersey,,Back Catalog,816265025319,12,<br>,14.0,29.95,false
46991310,99320594,Faire Exclusive,PS-CW-YEL,Atomic Yellow,Variant,Design,,The Cassette Wallet,Atomic Yellow,,Back Catalog,850015006753,3,<br>,19.5,39.95,false
46991310,98979418,Faire Exclusive,Z-SWS-BIRC,Birch Plywood/Zootility,Variant,Design,,Surfboard Wax Scraper,Birch,,Back Catalog,,12,<br>,3.5,7.95,false
46991310,99320543,Faire Exclusive,Z-RB-RED,Pepper Red,Variant,Design,,Rift Blade - Acrylic,Pepper Red,,Back Catalog,816265027436,3,<br>,12.5,24.95,false
46991310,98979419,Faire Exclusive,Z-SWS-BEEC,Beech/Zootility,Variant,Design,,Surfboard Wax Scraper,Beech,,Back Catalog,,0,<br>,5.5,11.95,false
46991310,99320592,Faire Exclusive,PS-CW-CLE,Clear Black,Variant,Design,,The Cassette Wallet,Clear Black,,Back Catalog,816265025753,3,<br>,19.5,39.95,false
46991310,99646804,Faire Exclusive,PS-FPW-57,Front Pocket Wallet - Prints No. 57,Variant,Design,,Front Pocket Wallet,No. 57,,Back Catalog,816265024565,0,<br>,12.0,24.95,false
46991310,99649069,Faire Exclusive,PS-FPW-79,Front Pocket Wallet - Prints No. 79,Variant,Design,,Front Pocket Wallet,No. 79,,Back Catalog,850015006722,0,<br>,12.0,24.95,false
46991310,98979420,Faire Exclusive,Z-SWS-CACR,Clear Acrylic/Zootility,Variant,Design,,Surfboard Wax Scraper,Acrylic,,Back Catalog,,12,<br>,6.5,14.95,false
46991310,98824523,Faire Exclusive,SG-SCC-TX,Texas,Variant,Design,,Cutout Coaster,Texas,,Back Catalog,816265021182,12,<br>,14.0,29.95,false
46991310,98824519,Faire Exclusive,SG-SCC-RI,Rhode Island,Variant,Design,,Cutout Coaster,Rhode Island,,Back Catalog,816265021168,12,<br>,14.0,29.95,false
46991310,98824905,Faire Exclusive,SG-SNO-TX-B,Texas / Brass,Variant,Design,,State Name Bottle Opener,Texas,,Back Catalog,816265023841,12,<br>,17.0,34.95,false
46991310,98824879,Faire Exclusive,SG-SNO-KY-B,Kentucky / Brass,Variant,Design,,State Name Bottle Opener,Kentucky,,Back Catalog,816265023278,12,<br>,17.0,34.95,false
46991310,98824904,Faire Exclusive,SG-SNO-TN-B,Tennessee / Brass,Variant,Design,,State Name Bottle Opener,Tennessee,,Back Catalog,816265023834,12,<br>,17.0,34.95,false
46991310,98824911,Faire Exclusive,SG-SNO-WV-B,West Virginia / Brass,Variant,Design,,State Name Bottle Opener,West Virginia,,Back Catalog,816265023902,12,<br>,17.0,34.95,false
46991310,99489806,Faire Exclusive,PS-LSW-26,No. 26 (Monsterra Leaves),Variant,Design,,Leather Single Wallet - Prints,No. 26,,Back Catalog,"",0,<br>,9.0,19.95,false
46991310,98824903,Faire Exclusive,SG-SNO-SD-B,South Dakota / Brass,Variant,Design,,State Name Bottle Opener,South Dakota,,Back Catalog,816265023827,12,<br>,17.0,34.95,false
46991310,98824912,Faire Exclusive,SG-SNO-WI-B,Wisconsin / Brass,Variant,Design,,State Name Bottle Opener,Wisconsin,,Back Catalog,816265023919,12,<br>,17.0,34.95,false
46991310,98824906,Faire Exclusive,SG-SNO-UT-B,Utah / Brass,Variant,Design,,State Name Bottle Opener,Utah,,Back Catalog,816265023858,12,<br>,17.0,34.95,false
46991310,99646854,Faire Exclusive,PS-LSW-57,No. 57 (Glowing Mountain),Variant,Design,,Leather Single Wallet - Prints,No. 57,,Back Catalog,"",0,<br>,9.0,19.95,false
46991310,98824910,Faire Exclusive,SG-SNO-WA-B,Washington / Brass,Variant,Design,,State Name Bottle Opener,Washington,,Back Catalog,816265023889,12,<br>,17.0,34.95,false
46991310,98824907,Faire Exclusive,SG-SNO-USA-B,USA / Brass,Variant,Design,,State Name Bottle Opener,USA,,Back Catalog,850015006166,12,<br>,17.0,34.95,false
46991310,98824913,Faire Exclusive,SG-SNO-WY-B,Wyoming / Brass,Variant,Design,,State Name Bottle Opener,Wyoming,,Back Catalog,816265023926,12,<br>,17.0,34.95,false
46991310,98824504,Faire Exclusive,SG-SCC-MS,Mississippi,Variant,Design,,Cutout Coaster,Mississippi,,Back Catalog,816265025265,12,<br>,14.0,29.95,false
46991310,98824897,Faire Exclusive,SG-SNO-OH-B,Ohio / Brass,Variant,Design,,State Name Bottle Opener,Ohio,,Back Catalog,816265023766,12,<br>,17.0,34.95,false
46991310,98824896,Faire Exclusive,SG-SNO-ND-B,North Dakota / Brass,Variant,Design,,State Name Bottle Opener,North Dakota,,Back Catalog,816265023759,12,<br>,17.0,34.95,false
46991310,100022248,Faire Exclusive,PS-LSW-79,No. 79 (Futuristic Tetris),Variant,Design,,Leather Single Wallet - Prints,No. 79,,Back Catalog,816265021069,0,<br>,9.0,19.95,false
46991310,98824503,Faire Exclusive,SG-SCC-MN,Minnesota,Variant,Design,,Cutout Coaster,Minnesota,,Back Catalog,816265025258,12,<br>,14.0,29.95,false
46991310,98824502,Faire Exclusive,SG-SCC-MI,Michigan,Variant,Design,,Cutout Coaster,Michigan,,Back Catalog,816265025241,12,<br>,14.0,29.95,false
46991310,98824501,Faire Exclusive,SG-SCC-MA,Massachusetts,Variant,Design,,Cutout Coaster,Massachusetts,,Back Catalog,816265021144,12,<br>,14.0,29.95,false
46991310,98824902,Faire Exclusive,SG-SNO-SC-B,South Carolina / Brass,Variant,Design,,State Name Bottle Opener,South Carolina,,Back Catalog,816265023810,12,<br>,17.0,34.95,false
46991310,98824500,Faire Exclusive,SG-SCC-MD,Maryland,Variant,Design,,Cutout Coaster,Maryland,,Back Catalog,816265025227,12,<br>,14.0,29.95,false
46991310,98824909,Faire Exclusive,SG-SNO-VA-B,Virginia / Brass,Variant,Design,,State Name Bottle Opener,Virginia,,Back Catalog,816265023872,12,<br>,17.0,34.95,false
46991310,98824499,Faire Exclusive,SG-SCC-ME,Maine,Variant,Design,,Cutout Coaster,Maine,,Back Catalog,816265021137,12,<br>,14.0,29.95,false
46991310,98824908,Faire Exclusive,SG-SNO-VT-B,Vermont / Brass,Variant,Design,,State Name Bottle Opener,Vermont,,Back Catalog,816265023865,12,<br>,17.0,34.95,false
46991310,98824498,Faire Exclusive,SG-SCC-LA,Louisiana,Variant,Design,,Cutout Coaster,Louisiana,,Back Catalog,816265021243,12,<br>,14.0,29.95,false
46991310,98824901,Faire Exclusive,SG-SNO-RI-B,Rhode Island / Brass,Variant,Design,,State Name Bottle Opener,Rhode Island,,Back Catalog,816265023803,12,<br>,17.0,34.95,false
46991310,98824497,Faire Exclusive,SG-SCC-KY,Kentucky,Variant,Design,,Cutout Coaster,Kentucky,,Back Catalog,816265021649,12,<br>,14.0,29.95,false
46991310,98824898,Faire Exclusive,SG-SNO-OK-B,Oklahoma / Brass,Variant,Design,,State Name Bottle Opener,Oklahoma,,Back Catalog,816265023773,12,<br>,17.0,34.95,false
46991310,98824895,Faire Exclusive,SG-SNO-NC-B,North Carolina / Brass,Variant,Design,,State Name Bottle Opener,North Carolina,,Back Catalog,816265023742,12,<br>,17.0,34.95,false
46991310,98824496,Faire Exclusive,SG-SCC-KS,Kansas,Variant,Design,,Cutout Coaster,Kansas,,Back Catalog,816265021632,12,<br>,14.0,29.95,false
46991310,98824495,Faire Exclusive,SG-SCC-IA,Iowa,Variant,Design,,Cutout Coaster,Iowa,,Back Catalog,816265021625,12,<br>,14.0,29.95,false
46991310,98824899,Faire Exclusive,SG-SNO-OR-B,Oregon / Brass,Variant,Design,,State Name Bottle Opener,Oregon,,Back Catalog,816265023780,12,<br>,17.0,34.95,false
46991310,98824893,Faire Exclusive,SG-SNO-NM-B,New Mexico / Brass,Variant,Design,,State Name Bottle Opener,New Mexico,,Back Catalog,816265023568,12,<br>,17.0,34.95,false
46991310,98824494,Faire Exclusive,SG-SCC-IN,Indiana,Variant,Design,,Cutout Coaster,Indiana,,Back Catalog,816265021618,12,<br>,14.0,29.95,false
46991310,98824493,Faire Exclusive,SG-SCC-IL,Illinois,Variant,Design,,Cutout Coaster,Illinois,,Back Catalog,816265021595,12,<br>,14.0,29.95,false
46991310,98824900,Faire Exclusive,SG-SNO-PA-B,Pennsylvania / Brass,Variant,Design,,State Name Bottle Opener,Pennsylvania,,Back Catalog,816265023797,12,<br>,17.0,34.95,false
46991310,98824492,Faire Exclusive,SG-SCC-ID,Idaho,Variant,Design,,Cutout Coaster,Idaho,,Back Catalog,816265021588,12,<br>,14.0,29.95,false
46991310,98824894,Faire Exclusive,SG-SNO-NY-B,New York / Brass,Variant,Design,,State Name Bottle Opener,New York,,Back Catalog,816265023575,12,<br>,17.0,34.95,false
46991310,98824892,Faire Exclusive,SG-SNO-NJ-B,New Jersey / Brass,Variant,Design,,State Name Bottle Opener,New Jersey,,Back Catalog,816265023520,12,<br>,17.0,34.95,false
46991310,98824491,Faire Exclusive,SG-SCC-HI,Hawaii,Variant,Design,,Cutout Coaster,Hawaii,,Back Catalog,816265021571,12,<br>,14.0,29.95,false
46991310,98824490,Faire Exclusive,SG-SCC-GA,Georgia,Variant,Design,,Cutout Coaster,Georgia,,Back Catalog,816265021557,12,<br>,14.0,29.95,false
46991310,98824890,Faire Exclusive,SG-SNO-NV-B,Nevada / Brass,Variant,Design,,State Name Bottle Opener,Nevada,,Back Catalog,816265023490,12,<br>,17.0,34.95,false
46991310,98824489,Faire Exclusive,SG-SCC-FL,Florida,Variant,Design,,Cutout Coaster,Florida,,Back Catalog,816265021540,12,<br>,14.0,29.95,false
46991310,98824891,Faire Exclusive,SG-SNO-NH-B,New Hampshire / Brass,Variant,Design,,State Name Bottle Opener,New Hampshire,,Back Catalog,816265023506,12,<br>,17.0,34.95,false
46991310,98824888,Faire Exclusive,SG-SNO-MT-B,Montana / Brass,Variant,Design,,State Name Bottle Opener,Montana,,Back Catalog,816265023476,12,<br>,17.0,34.95,false
